Size,IsPolytopal
AbstractRotaryPolytope([ 6, 24 ], "s2^-1*s1^2*s2^-1*s1^-1*s2^2*s1^-3*s2^-2, s1^-1*(s2^-1*s1^2)^2*s2^-1*s1^-3*s2*s1^-2, s1*s2^-2*s1*s2^4*s1*s2^-3*s1^-1*s2^3, s1*s2^2*s1*s2^-1*s1^-2*s2^2*s1^2*s2^-2*s1^-1*s2^2*s1*s2^-1, (s2*s1^-2*s2)^3")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "(s1*s2^-1*s1^2*s2^-2)^2, s1*s2^-1*s1*s2^2*(s1*s2^-1)^2*s2^-1*s1^-1*s2*s1*s2^-1, s1^2*s2*(s2*s1*s2^-1*s1^-1)^3*s2, s2*s1*s2^-1*s1^2*s2*(s2*s1^-1)^2*s1^-1*s2^3")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "s1^-1*s2^2*s1*s2^-1*(s1*s2^-1*s1)^2*s1^2*s2, (s1*s2^-1)^6, s1^2*s2*(s2*s1*s2^-1*s1^-1)^3*s2, s1*s2^4*s1*(s1^2*s2^-1)^2*s2^-2")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "s1^2*s2^5*s1*s2^-1*s1^-1*s2^4, (s2*s1^-2)^2*s1^-1*s2^-1*s1^-3*s2*s1^-2, s2*s1^-1*(s1^-1*s2)^2*s1^-1*s2^-1*s1^-2*(s1^-1*s2)^2, ((s2*s1^-1)^2*s1^-1*s2)^2, s2*(s1*s2^-1)^2*s2^-1*(s1^-1*s2)^2*s1^-1*s2^-1*s1*s2")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "(s1*s2^-1)^6, s1*s2^-1*s1*s2^2*(s1*s2^-1)^2*s2^-1*s1^-1*s2*s1*s2^-1, s1^2*s2*(s2*s1*s2^-1*s1^-1)^3*s2, s1*s2*s1^-1*s2*s1^2*s2^-1*s1^-1*s2^2*s1*s2^-1, s2^2*s1^-2*s2^-1*s1*(s1*s2^-1)^2*s1^-2*(s1^-1*s2)^2*s2*s1^-1")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "s1^-2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1^-1, s1*s2^-2*s1^2*s2^2*s1*(s1*s2^-1)^2*s2^-4, s1^2*s2*(s2*s1*s2^-1*s1^-1)^3*s2, s2*s1^-1*(s1^-1*s2)^2*(s1^2*s2^-1)^2*s1*s2")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "s2^-1*s1^2*s2^-1*s1^-1*s2^2*s1^-3*s2^-2, s1*s2*s1^-1*s2*s1*s2^-1*s1^-1*s2*s1^-1*s2^-2*s1^-2*(s1^-1*s2)^2*s1")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "s2^-1*s1^2*s2^-1*s1^-1*s2^2*s1^-3*s2^-2, s1^-1*(s2^-1*s1^2)^2*s2^-1*s1^-3*s2*s1^-2, (s2*s1^-2*s2)^3, s2*(s2*s1^-1)^2*s2*s1^2*s2^3*s1^-1*s2^-3*s1*s2^2, s2^2*s1^2*s2*(s2*s1^-1*s2^-2*s1)^2*s2")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "(s2*s1^-2)^2*s1^-1*s2^-1*s1^-3*s2*s1^-2, s2*s1^-1*(s1^-1*s2)^2*s1^-1*s2^-1*s1^-2*(s1^-1*s2)^2, ((s2*s1^-1)^2*s1^-1*s2)^2, s2*(s1*s2^-1)^2*s2^-1*(s1^-1*s2)^2*s1^-1*s2^-1*s1*s2, s2^2*(s2*s1^-1)^2*s2^-1*s1^2*s2^2*s1^-1*s2^-1*s1*s2^2")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "(s1^-1*s2)^4*s1^-3*s2^-1*s1*s2^3, s2*s1^-1*s2*s1^2*s2^-1*(s2^-1*s1^2)^2*s1*s2, s2*(s1^2*s2*s1^-1*s2^-1)^2*s1*s2*s1^-1, s2*s1^2*s2^2*s1^-1*s2^-1*s1*s2*s1^-1*s2^-2*s1*s2")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "s1*s2^-1*s1*s2^2*(s1*s2^-1)^2*s2^-1*s1^-1*s2*s1*s2^-1, s1^2*s2*(s2*s1*s2^-1*s1^-1)^3*s2, s1*s2^4*s1*(s1^2*s2^-1)^2*s2^-2, s2*s1^-1*s2*s1^2*s2^-1*(s2^-1*s1^2)^2*s1*s2")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "s1^-1*(s1^-1*s2)^2*s2^2*s1^-1*s2^-3*s1^-2*s2*(s2*s1^-1)^2, (s1*s2^-1)^6, s1^2*s2^2*s1*s2^-1*s1^-1*s2, s1*s2^4*(s2*s1^-1)^2*s2^-1*s1^2*s2^-3*s1")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "s2^-1*s1^2*s2^-1*s1^-1*s2^2*s1^-3*s2^-2, s1^-1*(s2^-1*s1^2)^2*s2^-1*s1^-3*s2*s1^-2, s1*s2^3*s1^-1*s2*s1^2*(s2^-1*s1^-1*s2*s1*s2^-1)^2, (s2*s1^-2*s2)^3, s2^3*s1^-1*s2^-2*s1^2*s2^-7*s1*s2^2")#6144#true
AbstractRotaryPolytope([ 6, 24 ], "(s1*s2^-2*s1^2*s2^-1)^2, (s1*s2^-1*s1^2*s2^-2)^2, s1^3*s2^-2*(s1^-1*s2*s1^-1)^2*s2^-1*s1*s2*s1^-2*s2^-2, s1*s2^2*s1*s2^-2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2^3*s1*s2^-1, s2*s1^2*s2*s1^-2*(s2*s1^-1*s2^-1*s1)^2*s1*s2^-1*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-1*s1^3*s2^-1*s1*(s1^2*s2^-3)^2*s1^-1, (s1*s2^-1)^4, s1*s2^-1*s1*s2^2*s1^2*s2^-2*s1^-1*s2*s1, s2*s1^-2*s2^2*s1^-2*(s1^-2*s2)^2*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1*(s1^2*s2^-1)^2*s1^3*s2^-1, s1^-1*s2^-1*s1*s2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1, (s1*s2^-1*(s1^-1*s2)^2*s2*s1)^2, s2^2*s1^-1*s2^-1*(s2^-2*s1)^2*s2^3*s1^-1, s2^5*s1^-1*s2^-6*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-1*s1^3*s2^-2*s1^-4*s2, s1*s2^-1*s1*s2^3*s1^2*s2^-2*s1^-1*s2^2*s1, s2^2*s1^-1*s2^2*s1^3*s2*s1^-1*s2^-1*s1^2*s2^2*s1^-1, s2^2*s1^2*s2*s1^-2*s2^-1*s1^3*s2*s1^-1*s2^-2*s1^2*s2, s2^6*s1*s2^-5*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*(s2^-1*s1^3)^2*s2^-1*s1^-4*s2*s1^-3, (s1*s2^-3)^2, s1*s2^-1*s1^2*s2^2*s1^2*(s1*s2^-1)^2*s1^-1*s2*s1^2, s1*s2*s1^-1*s2*s1*s2^-1*s1^2*s2^-1*s1^-2*s2^2*s1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1*(s1^2*s2^-1)^2*s1^3*s2^-1, s1*s2^-1*s1*s2^3*s1^2*s2^-2*s1^-1*s2^2*s1, s2*s1*s2^-1*s1*s2*s1^-2*s2^-1*s1^2*s2^2*s1^-1*s2^-1*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^2*s2^2*(s1*s2^-1)^2*s1^-1*s2*s1*s2^-1, s1*(s2*s1^-1)^4*s2^-2*s1*s2^-2, s1*s2^2*s1^-3*s2*s1*s2^-1*s1^-1*s2*s1^4*s2^-1, s2*(s1*s2^-1*s1)^2*s1^2*s2^-1*s1^-3*s2^2*s1^-3")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^2*s2*s1^-1*s2^-1*s1^2*s2^-1*s1^-2*s2*s1*s2^-2, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*(s2^-1*s1^3)^2*s2^-1*s1^-4*s2*s1^-3, s1*s2^-1*s1^3*s2^2*s1^2*s2^-3, s1^2*s2^-1*s1*s2^2*s1^3*s2^-2*s1^2*s2^-1, s1^2*s2^2*(s1*s2^-1)^2*s1^-1*s2*s1*s2^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1*(s1^2*s2^-1)^2*s1^3*s2^-1, s1^2*s2^5*s1^2*s2^-1*s1^-1*s2^4*s1, (s2*s1^-1*s2)^2*s1^2*s2^-1*(s2^-1*s1)^2*s2, s2^2*s1*s2^-1*s1^2*s2*s1^-1*s2^-1*s1*s2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2*s1^-2*(s2^-1*s1)^3*s2^-3*s1*s2^-1*s1^-1*s2^2*s1^-1, (s2*s1^-3)^2, s2^2*s1^-1*(s1^-1*s2)^2*s1^-1*s2^-1*s1*s2*s1^-1, s2^5*s1^3*s2^5*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^2*s2^5*s1^2*s2^-1*s1^-1*s2^4*s1, s2*s1^-2*(s2^-1*s1)^3*s2^-1*s1^-1*(s1^-1*s2)^3*s1^-1, (s2*s1^-3)^2, s2*s1^-1*s2^2*(s1*s2^-1)^2*s1^-1*s2*s1^-2, s2^6*s1*s2^-5*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1*(s2*s1^-1)^2*s2*s1^2*s2^-2*s1^3, s1^-1*s2^-1*s1^2*(s1*s2^-1)^2*s1^-4*s2*s1^-1, s2*s1^-3*s2*s1*s2^-2*s1^3*s2^-1*s1^-1*s2, s2^2*s1^2*s2*s1^-1*s2^-1*s1^2*s2^4*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1^-1*s2^3*s1*(s1^2*s2^-1)^2*s1^2, s1^-1*s2*s1^-1*(s2*s1^2*s2)^2*s2^3, (s1*s2^-1*(s1^-1*s2)^2*s2*s1)^2, s2*s1^-4*s2^-1*s1*s2^-1*s1^-4*s2*s1^-1, s2*s1^4*s2^-3*s1^3*s2^-1*s1^-1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1*s2^-2*s1*(s1*s2^-1)^2*s1^-3*s2^2*s1, s1*s2^-1*s1*s2^2*s1^2*s2^-2*s1^-1*s2*s1, s2*s1^2*s2*s1^-2*s2^-1*s1^3*s2*s1^-1*(s1^-1*s2)^2, s2^6*s1*s2^-5*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1^3*s2^-1*s1^-1*s2^2*s1^-4*s2^-2, s2*s1^-3*s2^2*s1^-2*s2*s1^2*s2^-1*s1*s2, s2^6*s1*s2^-5*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^2*s2^5*s1^2*s2^-1*s1^-1*s2^4*s1, (s2*s1^-3)^2, s2*s1^-1*s2^3*(s1*s2^-1)^2*s1^-1*s2^2*s1^-2, s2^6*s1*s2^-5*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-2*s2^3*s1^3*s2^-1*s1^-1*s2^2*s1^-2, s1^2*s2*(s2*s1^-1)^2*s2^-3*s1^-2*s2*s1*s2^-1*s1, s1^2*s2^2*(s1*s2^-1)^2*s1^-1*s2*s1*s2^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "(s2^-1*s1)^2*s2^-1*s1^-1*(s1^-1*s2)^2*s2*s1^-1*s2^-1*s1*s2^2*s1^-1*s2^-1, s1^2*s2^5*s1^2*s2^-1*s1^-1*s2^4*s1, (s2*s1^-3)^2, s2*s1^-2*s2^2*s1^2*s2^-2*s1^-1*s2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "((s1*s2^-1)^2*s2^-1*s1)^2, (s1*s2^-1*s1^3*s2^-1*s1^-1*s2)^2, s1^2*s2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1, s2*s1^-4*(s2*s1^-1*s2^-1*s1^3)^2*s2, s2*s1*(s1*s2^-1)^2*s1^3*s2^-1*s1^-3*(s1^-1*s2)^2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1*(s2*s1^-1*s2)^2*s1^2*s2^-2*(s1^-1*s2)^2*s2*s1*s2^-1, (s2*s1^-3)^2, s2*s1^-1*s2^4*(s1*s2^-1)^2*s1^-1*s2^3*s1^-2, s2*s1*s2^-1*s1*s2^2*s1^-1*(s2^-1*s1)^2*s2*s1^-1*s2^-1*s1*s2^2*s1^-1, s2^2*s1^-1*s2^2*s1^3*(s2^2*s1^-1)^2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^2*s2^-1*s1^-1*s2*(s1*s2^-1*s1)^2*s1*s2^-2, s2*s1^2*s2*s1^-1*s2^-1*s1^2*s2^-1*s1*s2^2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1*(s2*s1^-1*s2)^2*s1^2*s2^-2*s1^-1*s2*s1^2*s2^-1*s1^-1*s2*s1*s2^-1, (s2*s1^-3)^2, s2*s1^-1*s2^4*(s1*s2^-1)^2*s1^-1*s2^3*s1^-2, s2*s1*s2^-1*s1*s2^2*s1^-1*(s2^-1*s1)^2*s2*s1^-1*s2^-1*s1*s2^2*s1^-1, s2^2*s1^-1*s2^2*s1^3*(s2^2*s1^-1)^2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1*s2^-2*s1*s2^3*s1^2*s2^-1*(s2^-1*s1^-1*s2*s1)^2, s1*(s2*s1^-1*s2)^2*s1^2*s2^-2*(s1^-1*s2)^2*s2*s1*s2^-1, (s2*s1^-3)^2, s2*s1^-1*s2^4*(s1*s2^-1)^2*s1^-1*s2^3*s1^-2, s2^2*s1^-1*s2^2*s1^3*s2*s1^-1*s2^-1*s1^2*s2^2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-1*s1^3*s2^-2*s1^-4*s2, s2*s1^2*s2^2*s1^-1*s2^-1*s1^2*s2*s1^-2*s2^-2*s1*s2, s2^2*s1^2*s2*s1^-2*s2^-1*s1^3*s2*s1^-1*s2^-2*s1^2*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-2*s2^3*s1^3*s2^-1*s1^-1*s2^2*s1^-2, s1^2*s2*s1^-1*s2*s1*s2^-1*s1^2*s2^-1*s1^-2*s2*s1*s2^-1*s1, s2*s1^-3*s2^2*s1^-2*s2*s1^2*s2^-1*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1^-1*s2*s1^-3*s2*s1*s2^-1*s1^-1*s2*s1^-4*s2^-1, (s1*s2^-1*s1^-1*s2*s1*s2^-1)^2, s2^2*s1^-2*s2*s1^4*s2^2*s1^-2*s2, s2^2*s1*s2^-1*s1^3*s2^-1*s1^-2*s2^-2*s1^-4")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^2*s2^2*(s1*s2^-1)^2*s1^-1*s2*s1*s2^-1, s1*s2*s1^-1*s2*s1^3*s2^-1*(s1^-1*s2)^2*s1*s2^-1, s2^6*s1*s2^-5*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^2*s2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1, s2*s1*(s1*s2^-1)^2*s1^3*s2^-1*s1^-3*(s1^-1*s2)^2*s1^-1, s2^2*s1*s2^-1*s1^3*s2*s1^-1*s2^-1*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1*s2*s1^-1*s2*s1^3*s2^-1*s1^-1*s2*s1^2*s2^-2, s1*s2*s1^-1*s2^2*s1^-2*s2*(s1^2*s2^-1)^2, s1*s2^2*s1^-3*s2*s1*s2^-1*s1^-1*s2*s1^4*s2^-1, s2*s1^-3*s2^2*s1*s2^-2*s1*s2^-1*s1^-1*s2^2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*(s2^-1*s1^3)^2*s2^-1*s1^-4*s2*s1^-3, (s1*s2^-1)^4, (s1*s2^-1*s1^3*s2^-1*s1^-1*s2)^2, s1^2*s2^-1*s1*s2^2*s1^3*s2^-2*s1^2*s2^-1, s2*s1^-4*(s2*s1^-1*s2^-1*s1^3)^2*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "(s2^-1*s1)^2*s1*s2*s1*s2^-1*s1*s2^2*(s2*s1^-2)^2*s1^-1, s1^2*s2^3*(s2*s1^2)^2*s1*s2^-2*s1*s2^-1, s2*s1^2*s2*s1^-1*s2^-1*s1^2*s2^-1*s1*s2^2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-1*s1^2*(s1*s2^-1)^2*s1^-4*s2*s1^-1, s2*s1^6*s2*s1^-1*s2^2*s1^-3*s2^-1*s1^2*s2, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "(s2*s1^-3)^2, s2*s1*s2^-1*(s2^-1*s1)^2*s1*s2^2*s1^-1*s2^-1*s1*s2, s2*s1^2*(s2*s1^-1)^2*(s2^-1*s1)^2*s2*s1^-1*s2^2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1*(s1^2*s2^-1)^2*s1^3*s2^-1, s1*s2^-1*s1*s2^2*s1^2*s2^-2*s1^-1*s2*s1, s1^2*s2^5*s1^2*s2^-1*s1^-1*s2^4*s1, s1*s2*s1^-1*s2*s1*s2^-1*s1^-2*s2*s1^3*s2^2*s1^2*s2^-1*s1^-1*s2*s1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-1*s1^3*s2^-1*s1*(s1^2*s2^-3)^2*s1^-1, s1^-1*s2*s1^-2*(s2^-1*s1)^2*s2^-1*s1^-1*s2*s1^4*s2^-1, s2*s1^-3*s2^2*s1^-1*s2*s1^2*s2^-1*s1^2*s2, s2*s1^-2*s2^2*s1^-2*(s1^-2*s2)^2*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1*s2^3*s1^-1*s2*s1^2*s2^-3*s1^-1*s2*s1, (s2*s1^-3)^2, s2*s1^2*(s2*s1^-1)^2*(s2^-1*s1)^2*s2*s1^-1*s2^2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1*(s1^2*s2^-1)^2*s1^3*s2^-1, (s1*s2^-2)^4, (s1*s2^-1)^4, s1^2*s2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1, s2^4*s1^-1*(s2^-1*s1)^2*s2^3*s1^2*s2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-1*s1^3*s2^-2*s1^-4*s2, s1*s2^3*s1^-1*s2*s1^2*s2^-3*s1^-1*s2*s1, s2*s1*s2^-1*s1*s2*s1^-2*s2^-1*s1^2*s2^2*s1^-1*s2^-1*s1*s2, s2^2*s1^-1*s2^2*s1^3*s2*s1^-1*s2^-1*s1^2*s2^2*s1^-1")#6144#true
RotaryManiplex([ 8, 12 ], "s1*s2^-3*s1^-1*s2^2*s1*s2^-1*s1^-2*s2*s1*s2^-2*s1^-1*s2^2*s1*s2^-1, s1*s2^-1*s1*s2^2*s1*s2^-1*s1^-1*s2*s1^-1*s2^-4*s1*s2^-1*s1^-1*s2*s1*s2^-1, s2*s1^-2*(s2^-1*s1)^4*s2^-1*s1^-1*(s1^-1*s2)^2*s1^-1, (s2*s1^-3)^2, s2*s1^3*s2^-1*s1^-1*s2^4, s2*s1^2*(s2*s1^-1)^2*(s2^-1*s1)^2*s2*s1^-1*s2^2*s1^-1")#6144#false
AbstractRotaryPolytope([ 8, 12 ], "s1*s2^-2*s1*s2^3*s1^2*s2^-1*(s2^-1*s1^-1*s2*s1)^2, s1*(s2*s1^-1*s2)^2*s1^2*s2^-2*s1^-1*s2*s1^2*s2^-1*s1^-1*s2*s1*s2^-1, (s2*s1^-3)^2, s2*s1^-1*s2^4*(s1*s2^-1)^2*s1^-1*s2^3*s1^-2, s2^2*s1^-1*s2^2*s1^3*s2*s1^-1*s2^-1*s1^2*s2^2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-1*s1^2*(s1*s2^-1)^2*s1^-4*s2*s1^-1, s1*s2*s1^-1*s2*s1^3*s2^-1*(s1^-1*s2)^2*s1*s2^-1")#6144#true
RotaryManiplex([ 8, 12 ], "s1*s2^-3*s1^-1*s2^2*s1*s2^-1*s1^-2*s2*s1*s2^-2*s1^-1*s2^2*s1*s2^-1, s1*s2^-1*s1*s2^2*s1*s2^-1*s1^-1*s2*s1^-1*s2^-4*s1*s2^-1*s1^-1*s2*s1*s2^-1, s2*s1^-2*(s2^-1*s1)^3*s2^-1*s1^-1*(s1^-1*s2)^3*s1^-1, (s2*s1^-3)^2, s2*s1^3*s2^-1*s1^-1*s2^4, s2*s1^2*(s2*s1^-1)^2*s2^-1*s1*s2^-2*s1^2*s2^2*s1^-1")#6144#false
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1*s2*s1^-1*s2*s1*(s1^2*s2^-1)^2*s1*s2^-1, s1^-1*(s2^-1*s1^3)^2*s2^-1*s1^-4*s2*s1^-3, (s1*s2^-1*s1^3*s2^-1*s1^-1*s2)^2, s1*s2^-1*s1*s2^2*s1^2*s2^-2*s1^-1*s2*s1, s2*s1^-4*(s2*s1^-1*s2^-1*s1^3)^2*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1*(s1^2*s2^-1)^2*s1^3*s2^-1, s1^2*s2^2*s1*s2^-2*s1*s2^-1*s1^-1*s2*s1*s2^-2, s1*s2^3*s1^-1*s2*s1^2*s2^-3*s1^-1*s2*s1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-2*s2^3*(s2*s1^-1)^2*s2^-2*s1^2*s2^-1, (s1*s2^-1)^4, s1^2*s2*s1^-1*s2*s1^2*s2^-1*s1^-2*s2*s1, s2^2*s1^-1*s2^-2*s1^-3*s2^-2*s1*s2^2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-3*s1^2*s2*s1^-1*s2^-1*s1^3*s2*s1^-1, s1*s2*s1^-1*s2^2*s1^2*(s1*s2^-1)^2*s2^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1*(s1^2*s2^-1)^2*s1^3*s2^-1, s1^2*s2^5*s1^2*s2^-1*s1^-1*s2^4*s1, s2*s1^-1*s2^-1*s1*s2^-1*s1^-1*s2*s1^-2*s2^-2*s1^-1*s2^2*s1^-1*s2^-2*s1, s2^2*s1*s2^-1*s1^2*s2*s1^-1*s2^-1*s1*s2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "(s2^-1*s1^-1)^2, s2^-1*s1^-1*s2*s1^-3*s2^4*s1^-1*s2*s1*s2^-1, s1*s2^-1*s1^-1*s2*s1^2*(s1*s2^-1)^2*s2^-2, s1*s2^-1*s1^3*s2^-2*s1^2*(s2*s1^-1)^2*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-1*s1^2*(s1*s2^-1)^2*s1^-4*s2*s1^-1, (s1*s2^-3)^2, s1*s2^-1*(s2^-1*s1)^3*s1*s2^-1*s1^-2*s2*s1*s2^-1*s1^-1*s2*s1, s1*s2^-1*s1^2*s2^3*s1^2*s2^-1*s1^3*s2*s1^2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-2*s2^3*s1^3*s2^-1*s1^-1*s2^2*s1^-2, s2*s1^-3*s2^2*s1^-1*s2*s1*s2^-1*s1^2*s2*s1^-1, s2*s1*(s1*s2*s1^-1*s2^-1)^2*s1*s2, s2*s1^2*s2*s1^-1*(s1^-2*s2)^2*(s1^-1*s2)^2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1*s2^-2*s1*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1*s2^-2, (s2*s1^-3)^2, (s2*s1^-1*s2)^2*(s1^-1*s2*s1^-1)^2*s1^-1*s2^-1*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-4*s1^3*s2^-2*s1^2*s2^-1*s1^-1*s2*s1^-2, s1^2*s2^2*(s1*s2^-1)^2*s1^-1*s2*s1*s2^-1, s1*s2*s1^-2*s2*s1^3*s2^-1*s1^-1*s2^2*s1*s2^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1*(s1^2*s2^-1)^2*s1^3*s2^-1, s2^-1*s1*s2^3*s1*(s2^-1*s1*s2^-1)^2*s1^-1*s2*s1*s2^-1, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^2*s2^5*s1^2*s2^-1*s1^-1*s2^4*s1, s2*s1^-2*(s2^-1*s1)^4*s2^-1*s1^-1*(s1^-1*s2)^2*s1^-1, (s2*s1^-3)^2, s2*s1^-1*s2^2*(s1*s2^-1)^2*s1^-1*s2*s1^-2, s2^6*s1*s2^-5*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s2^-1*s1*(s2*s1^-1)^2*s2*s1^2*s2^-2*s1^3, s1^-1*s2^-1*s1^2*(s1*s2^-1)^2*s1^-4*s2*s1^-1, s1*s2^-1*s1*s2^3*s1^2*s2^-1*s1^-1*s2*s1*s2^-2, s2*s1^-3*s2*s1*s2^-2*s1^3*s2^-1*s1^-1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "(s2^-1*s1^-1)^2, s1*s2^-1*s1^-1*s2^2*s1^4*s2^3*s1^2, ((s1*s2^-1)^2*s2^-1*s1)^2, s1*s2^-1*s1^3*s2^-2*s1^2*(s2*s1^-1)^2*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-1*s1^3*s2^-2*s1^-4*s2, s2*s1^2*s2^2*s1^-1*(s2^-1*s1)^2*s2^3*s1^-1, s2^2*s1^-1*s2^2*s1^3*s2*s1^-1*s2^-1*s1^2*s2^2*s1^-1, s2^2*s1^2*s2*s1^-2*s2^-1*s1^3*s2*s1^-1*s2^-1*s1*s2*s1^-1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-1*s1^2*(s1*s2^-1)^2*s1^-4*s2*s1^-1, s1^2*s2^2*(s1*s2^-1)^2*s1^-1*s2*s1*s2^-1, s1*s2^4*s1*(s1^2*s2^-1)^2*s1^2, (s2*s1^-1*s2)^2*s1^2*s2^-1*s1*s2*s1^-2*s2^-1*s1*s2")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*(s2^-1*s1^3)^2*s2^-1*s1^-4*s2*s1^-3, (s1*s2^-1*(s2^-1*s1)^2)^2, s1*s2^-2*s1^3*s2^-1*s1^-2*s2^2*s1*s2^-1*s1^-1*s2^2, s1^2*s2^2*s1^2*(s1*s2^-1)^2*s2^-2, s1*s2^2*s1^-3*s2^4*s1^-1*s2*s1*s2^-1")#6144#true
AbstractRotaryPolytope([ 8, 12 ], "s1^-1*s2^-1*s1^3*s2^-2*s1^-4*s2, s1*s2^3*s1^-1*s2*s1^2*s2^-3*s1^-1*s2*s1, s2^3*s1^3*s2^-1*s1^3*s2^2")#6144#true
