Size,IsPolytopal
AbstractRotaryPolytope([ 9, 36 ], "s1^-1*s2^2*s1^-4*s2^2*s1^2*s2^2, s2*s1^-2*s2*s1^3*s2^-1*s1^3*s2*s1^-2, s2^2*(s1^2*s2^-1)^2*s1*(s2*s1^-1)^2*s1^-1, s2^6*s1^3*s2^2*s1^-1*s2^-1*s1^2*s2^3")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-1*s2*s1*s2^-1*s1^4*s2^-3*s1*s2*s1^-1, s1^2*s2*s1^-2*s2*s1^3*s2^-1*s1^-3*s2*s1^2, s2*s1^2*s2^2*s1^-1*s2^-1*s1*s2*s1^-1*s2^-2*s1*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s2^-2*s1*s2^2*s1*(s1*s2^-1)^2*s1^-1*s2*s1*s2^-1, (s1*s2^-1)^6, (s2*s1^-5)^2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1, s2*s1^3*s2^2*s1^-1*s2^-1*s1^3*(s2*s1^-1)^2*s2^-1*s1*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^6, s1*s2^-1*s1*s2^2*s1^3*s2^-2*s1^-1*s2*s1^2, s1^3*s2^-1*s1*s2^3*s1^-2*s2^-1*s1*s2^3*s1, (s2*s1^-5)^2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1, s2^3*s1^-3*(s1^-1*s2)^2*s2*s1^-1*s2^-1*s1*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "((s1*s2^-1)^2*s1^2)^2, s1^4*s2^-1*s1*s2*s1^-2*s2*s1*s2^-3, s2*s1^2*s2^2*s1^-1*s2^-1*s1*s2*s1^-1*s2^-2*s1*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^2*s2*s1^-2*s2*s1^3*s2^-1*s1^-3*s2*s1^2, s1^2*s2^2*s1^5*s2^-1*s1^-5*s2, s1*s2*s1^-1*s2^2*s1*(s1^2*s2^-1)^2*s1*s2^-1, s1*s2^2*s1^-3*s2^-1*s1^2*s2^-1*(s2^-1*s1^-1*s2*s1)^2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^4*s2^-1*s1*s2*s1^-2*s2*s1*s2^-3, s1^2*s2*s1^-2*s2*s1^3*s2^-1*s1^-2*s2^2*s1*s2^-1, s2*s1^2*s2^2*s1^-1*s2^-1*s1*s2*s1^-1*s2^-2*s1*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "((s1*s2^-1)^2*s1^2)^2, s1^4*s2^-1*s1*s2*s1^-2*s2*s1*s2^-3, s2*(s1^2*s2*s1^-1*s2^-1)^2*s1*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^6, s1*s2^3*s1^-1*s2*s1^3*s2^-3*s1^-2*s2*s1, (s2*s1^-5)^2, s2*(s1*s2^-1)^2*s1^4*s2*s1^-1*s2^-2*s1*s2^2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s2^-3*s1^-1*s2^2*(s1*s2^-1)^3, s1^-1*s2*(s2*s1^-1)^2*s1^-1*s2^-1*s1^2*s2^-1*s1*s2^3*s1^-1, (s2*s1^-5)^2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1, s2^2*(s1*s2^-1)^3*s2^-2*s1*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^2*s1*s2^3*s1*s2^-3, s1^2*s2^2*s1*s2^-1*s1^2*s2^-1*s1^-1*s2*s1*s2^-1*s1, s1*s2^2*s1^-1*s2^-3*(s2^-1*s1)^2*s2^-1, s1*s2^3*s1^-2*s2*s1^-1*s2^-1*s1*s2^-1*s1^-2*s2^2*s1, (s2*s1^-5)^2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s2^-1*s1*s2^4*s1^-1*s2^-1*s1^3*(s2*s1^-1)^2*s1^-3, (s1*s2^-1)^6, s1*s2^-1*s1*s2^2*s1^3*s2^-2*s1^-1*s2*s1^2, (s2*s1^-5)^2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-1*s2*s1*s2^-1*s1^4*s2^-3*s1*s2*s1^-1, s1*s2^2*s1^-1*s2*s1^3*s2^-2*s1^-2*s2*s1, s2*s1^-1*s2*s1^4*s2^-1*s1^2*s2*s1^-3")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-2*s2*s1^-6*s2*s1^-1*s2^-1*s1*s2*s1^-2, s1^2*s2*s1^-2*s2*s1^3*s2^-1*s1^-3*s2*s1^2, s1^2*s2^3*s1^2*(s1*s2^-1)^2*s2^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1*s1^2)^2, s1^2*s2^2*s1^-1*s2*(s2*s1^2*s2^-1*s1^-1)^2*s2*s1, s1^2*s2^2*s1^2*s2^-1*(s2^-1*s1^-1*s2*s1)^2*s2^-3")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^2*s2^2*s1*s2^-1*s1^2*s2^-1*s1^-1*s2*s1*s2^-1*s1, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s1*s2^2*s1*((s2^-1*s1)^2*s2*s1^-1)^2*s2^-1*s1*s2*s1^-1*s2^-2, (s2*s1^-5)^2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^6, s2*s1^-1*(s1^-1*s2^2)^2*s2*s1^-3, s2*s1*(s2^-1*s1*s2^2*s1^-1*s2^-1)^2*s2^-7*s1*s2^2, s2^2*s1^2*s2^-1*s1^3*s2^2*s1^-1*s2, s2^3*s1^-1*s2*s1^3*s2^-1*s1*s2*s1^-1*s2^-1*s1^2*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^6, s1^2*s2^2*s1*s2^-1*s1^2*s2^-1*s1^-1*s2*s1*s2^-1*s1, s1*s2*s1^-1*s2^2*s1^3*s2^-2*s1^-2*s2^2*s1*s2^-1, (s2*s1^-5)^2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1, s2^2*s1^-3*s2*s1^-2*s2^-3*s1*s2^2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-1*s2*s1*s2^-1*s1^4*s2^-3*s1*s2*s1^-1, s1^2*(s2^-1*s1^3*s2^-1)^2, s1*s2^2*s1^-1*s2*s1*s2^-1*s1^2*s2^-2*s1^-2*s2^2*s1, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-1*s2*s1^-2*(s1^-1*s2)^2*s1^3*s2^-2*s1^-1*s2*s1*s2^-1*s1^-1*s2*s1^-1, s1^2*s2^2*s1^-1*s2*s1^3*s2^-1*(s1^-1*s2)^2*s1^2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, (s2*s1^-5)^2, s2^3*(s1*s2^-1)^2*s2^-1*s1*s2^2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s2^-1*s1^4*s2^-2*s1^-2*s2*s1^-1*s2^-1*s1*s2^-1, s1^2*s2^2*s1*s2^-1*s1^-1*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^6, s1^2*s2^2*s1*s2^-1*s1^2*s2^-1*s1^-1*s2*s1*s2^-1*s1, s1*s2^2*(s2*s1^-2)^2*s1^-1*s2^-2, s2*s1^-3*s2^-3*s1^-1*s2^2*s1^-2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1, s2*s1^3*s2^2*s1^-2*s2^-1*s1^3*(s2*s1^-1)^2*s2^-1*s1^2*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^6, s2*s1^-1*(s1^-1*s2^2)^2*s2*s1^-3, s2*s1*(s2^-1*s1*s2^2*s1^-1*s2^-1)^2*s2^-7*s1*s2^2, s2*s1^2*s2^2*s1^-1*s2^-1*s1^3*s2^-1*s1*s2^3*s1^-1, s2^2*s1^2*s2^-1*s1^3*s2^2*s1^-1*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-1*s2*s1*s2^-1*s1^4*s2^-3*s1*s2*s1^-1, ((s1*s2^-1)^2*s1^2)^2, s1*s2^-1*s1^2*s2^2*s1*(s1*s2^-1)^2*s1^-1*s2*s1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1*s2^-1*s1^-1*s2*s1^2*s2^-1*s1^-2*s2^2*s1^6*s2^-1, ((s1*s2^-1)^2*s1^2)^2, s1^4*s2^-1*s1*s2*s1^-2*s2*s1*s2^-3, s1^2*(s2*s1^-1)^2*s2*s1^2*s2^-1*s1^-2*s2*s1^2*s2^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1*s1^2)^2, s1^2*s2^2*s1^2*s2^-1*(s2^-1*s1^-1*s2*s1)^2*s2^-3, s2^2*s1^-1*s2^2*s1^3*s2*s1^-1*s2^-1*s1^2*s2^2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-3*s2*s1^-1*s2^-1*(s2^-1*s1^3)^2*s2*s1^-2*s2, s1^2*s2^2*s1^-1*s2^-3*s1^2*s2^-1*s1^-1*s2*s1^-1*s2^-3*s1, s1^2*s2^2*s1*s2^-1*s1^-1*s2, s2*s1^-2*s2*s1^-1*s2^-1*(s2^-1*s1^2)^2*s1^2*s2*s1^-3")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-1*s2*s1^-3*s2^-1*s1*(s1*s2^-1)^2*s1^-2*s2^-1*s1*s2, ((s1*s2^-1)^2*s1^2)^2, s1^4*s2^-1*s1*s2*s1^-2*s2*s1*s2^-3")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1^-1*s2)^2*s1*s2^-1*s1^2*(s2*s1^-1)^2*s1^-1*s2, (s1^-1*s2*s1*s2^-1)^2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^6, s1*s2^-1*s1*s2^2*s1^3*s2^-2*s1^-1*s2*s1^2, s1^2*s2^2*s1*s2^-1*s1^2*s2^-1*s1^-1*s2*s1*s2^-1*s1, (s2*s1^-5)^2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1, s2^2*s1^-3*s2*s1^-2*s2^-3*s1*s2^2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^2*s1*s2^3*s1*s2^-3, s1*s2^-1*s1*s2^2*s1^3*s2^-2*s1^-1*s2*s1^2, s1*s2*s1^-1*s2^2*s1^3*s2^-1*(s1^-1*s2)^2*s1*s2^-2, s1*s2^2*s1^-1*s2^-3*(s2^-1*s1)^2*s2^-1, (s2*s1^-5)^2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^2*s2*s1^-1*s2*s1^4*s2^-1*s1^-2*s2*s1^3, s1^2*s2^3*s1^3*s2^-1*s1^-1*s2^2*s1^2, s1*s2^2*s1^-1*s2*s1^3*s2^-1*s1^-3*s2*s1^2*s2^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s2^-1*s1^3*s2^-1)^2*s1^2, s1^-1*(s1^-1*s2^2)^2*s1^2*s2^-1*(s1^-1*s2)^2*s2*s1^-3, s1^2*s2^2*s1^2*s2^-1*(s2^-1*s1^-1*s2*s1)^2*s2^-3, s2*s1^5*s2*s1^-3")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^6, s1*s2^-1*s1*s2^2*s1^3*s2^-2*s1^-1*s2*s1^2, s1^3*s2^-1*s1*s2^3*s1^-2*s2^-1*s1*s2^3*s1, (s2*s1^-5)^2, s2*s1^3*s2*s1^-1*s2^-2*s1^3*s2*s1^-1*s2^3, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^2*s2^2*s1*s2^-1*s1^2*s2^-1*s1^-1*s2*s1*s2^-1*s1, s2*s1^-2*(s1^-1*s2)^3*s1^-3, s2*s1^-1*s2*s1^2*s2^-1*s1^2*s2*s1^-1, s2^2*s1^-1*s2^2*s1^2*s2^-1*(s2^-1*s1)^2*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-1*(s1^-1*s2)^2*s1^3*s2^-2*s1^2*s2^2, (s2*s1^-5)^2, s2*s1^2*s2*s1^-1*(s2^-1*s1)^2*s2^2*s1^-1, s2^2*s1^2*s2^4*s1^-1*s2^-1*s1*s2*(s2*s1^-1*s2^-2*s1)^2*s2^4")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s2^-2*s1)^4, s1^-1*s2*s1*s2^-1*s1^4*s2^-3*s1*s2*s1^-1, s2^2*(s1*s2^-1)^2*s1*s2^2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1*s2^-2*s1^-1*s2^2*s1*s2^-2*s1^-4*s2^-1*s1*s2^-1, (s1*s2^-1*s1^-2*s2*s1^3)^2, s2^3*s1^-2*s2^-1*s1^2*s2*s1^-1*s2^-2*s1*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1*s2^2*(s2*s1^-2)^2*s1^-1*s2^-2, s2*s1^-3*s2^-3*s1^-1*s2^2*s1^-2, s2*s1*s2^-1*s1^-1*s2*s1^-4*s2*s1^-1*s2^-1*s1*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^2*s1^5*s2^2*s1^2*s2^-1*s1^-1*s2, s1^2*s2*s1^-1*s2*s1^4*s2^-1*s1^-2*s2*s1^3, s1^2*s2^3*s1^3*s2^-1*s1^-1*s2^2*s1^2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^6, s1*s2^2*(s2*s1^-2)^2*s1^-1*s2^-2, s2*s1^-3*s2^-3*s1^-1*s2^2*s1^-2, s2*s1^-2*s2^2*s1^-1*s2^-2*s1^3*(s2*s1^-1)^2*s2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-2*s2*s1^3*s2^-1*s1*s2^2, s1*s2^-1*s1^2*s2^2*s1*(s1*s2^-1)^2*s1^-1*s2*s1, s1^2*s2^2*s1*s2^-1*s1^3*s2^-1*s1^-4*s2^2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s2*s1*s2^-1*s1^3*s2*s1^-2*s2, s2*(s1^2*s2^-1)^2*s1*s2^-1*s1^2*s2^2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^2*s2^2*s1*s2^-1*s1^2*s2^-1*s1^-1*s2*s1*s2^-1*s1, s2*s1^-3*s2*(s2^2*s1^-1)^2*s1^-1, s2*s1^-1*s2^2*s1^3*s2^-1*s1^2*s2^2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s2^-1*s1)^2*s2^-1*(s1^-1*s2)^2*s1^2*s2^-2*s1^-1*s2*s1*s2^-2, (s1*s2^-1)^6, s2*s1^-3*s2*(s2^2*s1^-1)^2*s1^-1, s2*s1^-1*s2^2*s1^3*s2^-1*s1^2*s2^2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^2*s1*s2^3*s1*s2^-3, s1*s2^2*s1^-1*s2^-3*(s2^-1*s1)^2*s2^-1, (s2*s1^-5)^2, s2*s1^-2*s2^2*s1^4*s2^2*s1^-2*s2, s2*s1*s2^-1*s1^4*s2^-1*s1*s2*s1^-1*s2^-1*s1*s2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s2^-1*s1*s2^5*s1*s2^-2*s1^-1*s2^2*s1*s2^-2, s1^2*s2^2*s1^-1*s2*s1^3*s2^-1*(s1^-1*s2)^2*s1^2, s1^2*s2^2*s1*s2^-1*s1^2*s2^-1*s1^-1*s2*s1*s2^-1*s1, (s2*s1^-5)^2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^3*s2^2*s1^4*(s1*s2^-1)^2*s2^-1*s1^-1*s2, s1^2*s2*s1^-1*s2*s1^4*s2^-1*s1^-2*s2*s1^3, s1*(s2*s1^-1)^2*s1^-1*s2^-1*s1*s2^2*s1^-4*s2*s1*s2^-2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^6, s1*s2^2*(s2*s1^-2)^2*s1^-1*s2^-2, s2*s1^-3*s2^-3*s1^-1*s2^2*s1^-2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1, s2^3*s1*s2^-1*s1^4*s2^2*s1^-1*s2^-1*s1*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s2^-1*s1*s2^5*s1*s2^-2*s1^-1*s2^2*s1*s2^-2, s1^2*s2^3*s1^3*s2^-3*s1, s2*s1^-1*(s1^-2*s2)^2*s1^-1*s2*s1^-2, s2*s1^-1*s2*s1^3*s2^-1*s1^2*s2*s1^-2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-1*s2*s1*s2^-1*s1^4*s2^-3*s1*s2*s1^-1, s2*s1^-1*s2*s1^4*s2^-1*s1^2*s2*s1^-3, s2*s1^-1*s2^3*s1^-2*(s1^-1*s2)^2*s1^-2*s2^-1*s1*s2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1^-1*s2)^2*s1^-1*s2^-2*s1*(s1*s2^-1)^2*s1*s2^2*s1^-1, (s1*s2^-1)^6, s1*s2^2*(s2*s1^-2)^2*s1^-1*s2^-2, s2*s1^-3*s2^-3*s1^-1*s2^2*s1^-2, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^2*s2*s1^-1*s2*s1^4*s2^-1*s1^-2*s2*s1^3, s1^2*s2^3*s1^3*s2^-1*s1^-1*s2^2*s1^2, s1*s2^2*(s1^2*s2^-1)^2*s2^-1*s1*s2^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-1*s2*s1*s2^-1*s1^4*s2^-3*s1*s2*s1^-1, s2*s1^-1*s2*s1^4*s2^-1*s1^2*s2*s1^-3, s2*s1*(s1^2*s2*s1^-2*s2^-1)^2*s1^2*s2*s1^-1, s2*s1^2*(s2*s1^-1)^2*s1^-1*s2^2*s1^-5*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1*s1^2)^2, s1^2*s2^2*s1^2*s2^-1*(s2^-1*s1^-1*s2*s1)^2*s2^-3, s2^2*s1^-1*s2^2*s1^3*(s2^2*s1^-1)^2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-1*s2*s1^-2*(s1^-1*s2)^2*s1^3*s2^-2*s1^-1*s2*s1*s2^-1*s1^-1*s2*s1^-1, (s1*s2^-1)^6, (s2*s1^-5)^2, s2^3*s1^2*s2^-2*s1*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "(s1*s2^-1)^6, s1*s2^3*s1^-1*s2*s1^3*s2^-3*s1^-2*s2*s1, (s2*s1^-5)^2, s2*s1^2*s2*s1^-2*s2^-1*s1^3*s2^-4*s1*s2")#11664#true
AbstractRotaryPolytope([ 12, 18 ], "s1^-1*s2*s1^-1*s2*(s1^-3*s2*s1^-2)^2, s1*s2^-1*(s2^-1*s1^2)^2*s2^2*s1*s2^-1, s1^2*s2*s1^-1*s2*s1^4*s2^-1*s1^-2*s2*s1^3, s1*s2^2*s1^-4*s2^-1*s1*s2^-2*s1^-3*s2*s1*s2^-2")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s1*s2^-2*s1^3)^2, s1^2*s2^2*s1*s2^-1*s1^-1*s2, s2^2*s1^-3*s2^-1*s1*s2^-2*s1^-3*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "s2^-1*s1^-1*s2*s1^-2*s2*s1^3*s2^-2*s1^-2*s2*s1^2, s1^-3*s2*s1^5*s2*s1^-2*s2^-1*s1^2*s2, (s1*s2^-1*s1)^4, s2*s1^2*s2^2*s1^-1*s2^-1*s1*s2*s1^-1*s2^-2*s1*s2")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "s1^-2*s2^3*s1^4*s2^-1*(s1^-1*s2*s1^-1)^2, (s1*s2^-1)^6, (s1*s2^-1*s1^4)^2, s2*s1^3*s2*s1^-1*s2^-2*s1^3*s2*s1^-1*s2^3, s2^6*s1*s2^-5*s1*s2")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s1*s2^-1)^6, s1*s2^-1*s1*(s1*s2^-2)^2*s2^-1*s1^2, s2*s1^-1*s2^2*s1^3*s2^-1*s1^2*s2^2, s2*s1*s2^-1*(s1^2*s2*s1^-1*s2^-1*s1)^2*s2^-1*s1*s2, s2^6*s1*s2^-5*s1*s2")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "s1^-1*s2*s1*(s1*s2^-1*s1^3*s2^-1)^2*s1^2*s2, (s1*s2^-1*s1^4)^2, s1^2*s2^2*s1^-1*s2*s1^3*s2^-1*(s1^-1*s2)^2*s1^2, s1^2*s2^2*s1*s2^-2*s1*s2^-1*s1^-1*s2*s1*s2^-2, s1^2*s2^3*s1^2*s2^-1*s1^-1*s2^2*s1, s2^6*s1*s2^-5*s1*s2")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "s1*s2^-1*s1^4*s2*s1^-1*s2*s1^2*s2^-1, s1*s2^4*s1^-2*s2^-1*s1^2*s2^-2*s1^-1*s2*s1^2, s2*s1^-2*(s2^-1*s1)^3*s1^3, s2^6*s1*s2^-5*s1*s2")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s1*s2^-3)^2, s1^3*s2*s1^-1*s2*s1^5*s2^-3*s1^-3*s2, s1^2*s2*s1^-1*s2*s1*s2^-1*s1^2*s2^-1*s1^-2*s2*s1*s2^-1*s1, s1^2*s2^2*s1^6*s2^-2*s1^4")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s1*s2^-1)^6, (s1*s2^-1*s1^4)^2, s1*s2*s1^-1*s2*s1^2*(s1*s2^-2)^2, s2*s1^3*s2*s1^-1*s2^-2*s1^3*s2*s1^-1*s2^3, s2^6*s1*s2^-5*s1*s2")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "s1^-3*s2*s1^5*s2*s1^-2*s2^-1*s1^2*s2, s2*s1^2*s2*s1^-1*s2^-1*s1*(s1^2*s2^-1)^2*s1*s2*s1^-1, s2^2*s1^6*s2^-1*s1*s2*s1^-5, s2^6*s1*s2^-5*s1*s2")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "s1^2*s2^2*s1^6*s2^-2*s1^4, s2*(s1^-2*s2^2*s1^-1)^2*s2*s1^2*s2^2, s2^2*s1*s2^-1*s1^3*s2^-1*s1*s2^2*s1^-3")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s1*s2^-1*s1)^4, s1^2*s2*s1^-2*s2*s1^3*s2^-1*s1^-3*s2*s1^2, s1^2*s2^2*s1^5*s2^-2*(s2^-1*s1)^2*s1, s1*s2^3*s1^4*s2^-1*s1^-4*s2*s1*s2^-1, s2*s1*s2^-2*s1^2*s2*s1^-1*s2^2")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s1*s2^-1)^6, s1*s2^-1*s1^3*s2^-1*(s2^-2*s1)^2, s2*s1^2*s2^2*s1^-1*s2^-1*s1^3*s2^-1*s1*s2^3*s1^-1, s2^2*s1^2*s2^-1*s1^3*s2^2*s1^-1*s2, s2^6*s1*s2^-5*s1*s2")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "s2^-1*s1^-2*s2*s1*s2^-1*s1^2*s2^-1*s1^-3*s2^2*s1^2, s1^2*s2^2*s1^6*s2^-2*s1^4, s2*(s1^2*s2*s1^-1*s2^-1)^2*s1*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "s1^2*s2*s1^-1*s2*s1^4*s2^-1*s1^-4*s2*s1, s1^2*s2^2*s1^6*s2^-2*s1^4, s2*(s1^2*s2*s1^-1*s2^-1)^2*s1*s2*s1^-1")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "s1^2*s2*s1^-1*s2*s1^4*s2^-1*s1^-4*s2*s1, s1*s2^2*(s1^2*s2^-1)^2*s2^-1*s1*s2^-1")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s1*s2^-1*s1)^4, s1^2*s2*s1^-2*s2*s1^3*s2^-1*s1^-3*s2*s1^2, s1^2*s2^2*s1^5*s2^-2*(s2^-1*s1)^2*s1, s2*s1*s2^-2*s1^2*s2*s1^-1*s2^2, s2^2*s1*s2^-1*s1^3*s2^-1*s1*s2^2*s1^-3")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "s1^-3*s2*s1^5*s2*s1^-2*s2^-1*s1^2*s2, (s1*s2^-3)^2, s1^2*s2^2*s1^6*s2^-2*s1^4")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s1*s2^-1*s1)^4, s1^2*s2*s1^-2*s2*s1^3*s2^-1*s1^-3*s2*s1^2, s1^2*s2*s1^-1*s2*s1^4*s2^-1*s1^-4*s2*s1, s1^2*s2^2*s1^6*s2^-2*s1^4, s1*s2^4*s1^4*s2^-4*s1")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s2^-2*s1*s2^-3)^2, (s1*s2^-1*s1^-1*s2*s1*s2^-2)^2, (s1*s2^-1*s1^4)^2, s2*s1^-1*s2^-1*(s2^-1*s1)^2*s2^2*s1^-1, s2*s1^-1*s2^-1*(s1*s2^-1*s1)^2*(s2*s1^-1)^2*s1^-1")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s1*s2^-1)^6, (s1*s2^-1*s1^4)^2, s1*s2^-1*s1*s2*s1^-1*s2*s1^3*s2^-1*s1^-1*s2*s1^2*s2^-1*s1, s1^2*s2^2*s1*s2^-2*s1*s2^-1*s1^-1*s2*s1*s2^-2, s2*s1^-1*s2^2*s1^-5*(s2^-1*s1)^2*s2, s2^6*s1*s2^-5*s1*s2")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s1*s2^-2*s1^3)^2, s1^2*s2^2*s1*s2^-1*s1^-1*s2, s1*(s2*s1^-1)^2*s2^-1*(s2^-1*s1)^2*s2*s1^-2*s2*s1^-1*s2^-3")#11664#true
AbstractRotaryPolytope([ 18, 12 ], "(s1*s2^-1*s1)^4, s1^2*s2*s1^-2*s2*s1^3*s2^-1*s1^-3*s2*s1^2, s1^2*s2*s1^-1*s2*s1^4*s2^-2*s1^-1*s2^2, s1^2*s2^2*s1^6*s2^-2*s1^4")#11664#true
